Track_Name,Artist_Name,Album_Name,Disc_Number,Track_Number,Track_Duration_(ms),Added_At
Wish You Were Mine - Radio Edit,Philip George,Wish You Were Mine,1,1,177560,2019-04-25T18:48:55Z
Stranger In A Room (feat. Oliver Sim),Jamie xx,In Colour,1,6,177511,2019-04-25T18:46:44Z
Number 13,Nothing But Thieves,Broken Machine (Deluxe),1,13,177173,2020-04-05T20:44:54Z
Bonfire,The Hunna,100,1,1,177139,2019-04-25T18:23:08Z
VCR,The xx,xx,1,2,177093,2019-04-25T18:44:42Z
HUMBLE.,Kendrick Lamar,DAMN.,1,8,177000,2019-04-25T20:13:08Z
The Nights,Avicii,The Nights,1,1,176658,2019-04-25T20:21:28Z
Campus,Vampire Weekend,Vampire Weekend,1,6,176466,2020-02-21T14:28:47Z
Rush,The Score,Stay,1,2,176443,2019-09-16T11:11:57Z
American Idiot,Green Day,American Idiot,1,1,176346,2019-04-25T19:06:24Z
Ivy & Gold,Bombay Bicycle Club,Flaws,1,4,176071,2020-01-07T21:30:15Z
Hummer,Foals,Hummer,1,1,176013,2019-08-12T13:54:43Z
Heartbeat,Scouting For Girls,Scouting For Girls,1,5,175906,2019-04-25T18:37:43Z
Blame,Bastille,Wild World (Complete Edition),1,11,175880,2019-04-25T18:11:06Z
The Bucket,Kings of Leon,Aha Shake Heartbreak,1,6,175546,2019-07-28T16:24:45Z
Psych Out!,AJ Tracey,AJ Tracey,1,7,175520,2019-09-16T11:12:25Z
Ain't No Rest For The Wicked - Original Version,Cage The Elephant,Cage The Elephant,1,3,175493,2019-04-25T18:49:46Z
Mardy Bum,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",1,9,175440,2019-05-28T15:12:53Z
Get Shaky,Ian Carey Project,Floorfillers 2010,2,11,175266,2019-04-25T18:54:14Z
Demons,Imagine Dragons,Night Visions (Deluxe),1,4,175200,2019-04-25T18:11:58Z
I Love Rock 'N Roll,Joan Jett & The Blackhearts,I Love Rock 'N' Roll (Expanded Edition),1,1,175173,2019-08-20T18:09:02Z
Evening / Morning,Bombay Bicycle Club,I Had The Blues But I Shook Them Loose,1,3,174946,2019-04-25T18:13:28Z
Scared To Be Alone,Echosmith,Lonely Generation,1,8,174598,2020-05-05T15:45:20Z
The Bartender And The Thief,Stereophonics,Performance And Cocktails,1,2,174440,2019-07-03T18:13:09Z
Welcome To The Jungle,"JAY-Z, Kanye West",Watch The Throne (Deluxe),1,8,174133,2019-12-04T17:25:46Z
If You Wanna,The Vaccines,What Did You Expect from the Vaccines?,1,2,174013,2019-05-28T15:12:24Z
Polly,Nirvana,Nevermind (Remastered),1,6,173853,2019-09-16T11:01:15Z
Come on Over,Royal Blood,Royal Blood,1,2,173826,2019-04-25T18:35:41Z
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),1,1,173799,2019-04-25T18:55:29Z
I Bet You Look Good On The Dancefloor,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",1,2,173680,2019-04-25T18:48:55Z
Left Hand Free,alt-J,This Is All Yours,1,5,173630,2019-04-25T18:07:24Z
Daylight,Matt and Kim,Sidewalks,1,11,173333,2019-07-02T17:12:40Z
Mess Around,Cage The Elephant,Tell Me I'm Pretty,1,2,173173,2019-08-12T13:57:17Z
One Love / People Get Ready - Medley,Bob Marley & The Wailers,Exodus (Deluxe Edition),1,10,172933,2019-06-30T11:46:44Z
Level Up - Radio Edit,Sway,"100% Black, Vol.15 (International Edition)",1,6,172883,2019-04-25T18:48:55Z
Brianstorm,Arctic Monkeys,Favourite Worst Nightmare,1,1,172866,2019-08-24T22:50:27Z
Haunt - Demo,Bastille,All This Bad Blood,2,3,172706,2019-04-25T18:09:36Z
Angels,The xx,Coexist,1,1,171653,2019-04-25T18:44:58Z
Shut Up and Let Me Go,The Ting Tings,We Started Nothing,1,5,171226,2019-12-01T18:01:01Z
Seen It All,Jake Bugg,Jake Bugg,1,4,171213,2019-04-25T18:48:55Z
Wearing My Rolex - Radio Edit,Wiley,See Clear Now,1,2,170480,2019-04-25T18:48:55Z
Don't Matter,Kings of Leon,Mechanical Bull (Expanded Edition),1,3,170266,2019-07-28T16:24:45Z
Warriors,Imagine Dragons,Smoke + Mirrors (Deluxe),1,18,170106,2019-07-03T15:35:30Z
